"id","team","wiki","region","country","track","kind","section","application","year"
3664,"BUCT-China","https://2020.igem.org/Team:BUCT-China","asia","CHN","Environment","collegiate","undergrad","accepted",2020
3629,"Calgary","https://2020.igem.org/Team:Calgary","north-america","CAN","Food & Nutrition","collegiate","undergrad","accepted",2020
3467,"CAU_China","https://2020.igem.org/Team:CAU_China","asia","CHN","Environment","collegiate","undergrad","accepted",2020
3551,"CCA_San_Diego","https://2020.igem.org/Team:CCA_San_Diego","north-america","USA","High School","high-school","high-school","accepted",2020
3648,"CCU_Taiwan","https://2020.igem.org/Team:CCU_Taiwan","asia","TWN","Diagnostics","collegiate","undergrad","accepted",2020
3477,"Chalmers-Gothenburg","https://2020.igem.org/Team:Chalmers-Gothenburg","europe","SWE","Environment","collegiate","overgrad","accepted",2020
3541,"China-HZFTH","https://2020.igem.org/Team:China-HZFTH","asia","CHN","High School","high-school","high-school","deleted",2020
3531,"China-Hz-Transb","https://2020.igem.org/Team:China-Hz-Transb","asia","CHN","High School","high-school","high-school","deleted",2020
3485,"Ciencias_UNAM","https://2020.igem.org/Team:Ciencias_UNAM","latin-america","MEX",,"collegiate","collegiate","deleted",2020
3588,"CLS_CLSG_UK","https://2020.igem.org/Team:CLS_CLSG_UK","europe","GBR","High School","high-school","high-school","accepted",2020
3509,"Cognitive_October","https://2020.igem.org/Team:Cognitive_October","africa","EGY",,"collegiate","collegiate","deleted",2020
3363,"Concordia-Montreal","https://2020.igem.org/Team:Concordia-Montreal","north-america","CAN","Software","collegiate","overgrad","accepted",2020
3419,"Cornell","https://2020.igem.org/Team:Cornell","north-america","USA","Therapeutics","collegiate","undergrad","accepted",2020
3415,"Coventry_Mk1","https://2020.igem.org/Team:Coventry_Mk1","europe","GBR",,"collegiate","collegiate","deleted",2020
3661,"CPU_CHINA","https://2020.igem.org/Team:CPU_CHINA","asia","CHN","Therapeutics","collegiate","undergrad","accepted",2020
3637,"CSH_Seahawks","https://2020.igem.org/Team:CSH_Seahawks","north-america","USA","High School","high-school","high-school","deleted",2020
3431,"CSMU_Taiwan","https://2020.igem.org/Team:CSMU_Taiwan","asia","TWN","Diagnostics","collegiate","undergrad","accepted",2020
3452,"CSU_CHINA","https://2020.igem.org/Team:CSU_CHINA","asia","CHN","Environment","collegiate","overgrad","accepted",2020
3446,"CU-Boulder","https://2020.igem.org/Team:CU-Boulder","north-america","USA","Environment","collegiate","undergrad","accepted",2020
3455,"Cyprus","https://2020.igem.org/Team:Cyprus","asia","CYP",,"collegiate","collegiate","deleted",2020
3537,"CZHN14","https://2020.igem.org/Team:CZHN14","asia","CHN","High School","high-school","high-school","deleted",2020
3536,"CZHN-TB","https://2020.igem.org/Team:CZHN-TB","asia","CHN","High School","high-school","high-school","deleted",2020
3586,"Delonix_Shenzhen","https://2020.igem.org/Team:Delonix_Shenzhen","asia","CHN","High School","high-school","high-school","deleted",2020
3694,"DeNovocastrians","https://2020.igem.org/Team:DeNovocastrians","asia","AUS","Environment","collegiate","overgrad","accepted",2020
3441,"DNHS_SanDiego","https://2020.igem.org/Team:DNHS_SanDiego","north-america","USA","High School","high-school","high-school","deleted",2020
3652,"DNHS_SanDiego_CA","https://2020.igem.org/Team:DNHS_SanDiego_CA","north-america","USA","High School","high-school","high-school","accepted",2020
3385,"DTU-Denmark","https://2020.igem.org/Team:DTU-Denmark","europe","DNK","Manufacturing","collegiate","overgrad","accepted",2020
3583,"Duesseldorf","https://2020.igem.org/Team:Duesseldorf","europe","DEU","Environment","collegiate","overgrad","accepted",2020
3354,"DUT_China","https://2020.igem.org/Team:DUT_China","asia","CHN","Foundational Advance","collegiate","undergrad","accepted",2020
3689,"Earthian","https://2020.igem.org/Team:Earthian","north-america","USA","High School","high-school","high-school","deleted",2020
3690,"Earthist","https://2020.igem.org/Team:Earthist","north-america","USA","High School","high-school","high-school","deleted",2020
3704,"ECNUAS","https://2020.igem.org/Team:ECNUAS","asia","CHN","High School","high-school","high-school","accepted",2020
3422,"Ecuador","https://2020.igem.org/Team:Ecuador","latin-america","ECU",,"collegiate","collegiate","deleted",2020
3480,"ECUST_China","https://2020.igem.org/Team:ECUST_China","asia","CHN","New Application","collegiate","undergrad","accepted",2020
3481,"ECUST_SH_China","https://2020.igem.org/Team:ECUST_SH_China","asia","CHN",,"collegiate","collegiate","deleted",2020
3380,"Edinburgh","https://2020.igem.org/Team:Edinburgh","europe","GBR","Environment","collegiate","overgrad","accepted",2020
3703,"ENUSAS","https://2020.igem.org/Team:ENUSAS","asia","CHN","High School","high-school","high-school","deleted",2020
